code,name,scheme,uri,region_code,region_country_code,region_country_language_code
0152002,s.Goian (mun. Chişinău),CUATM,http://statistica.md,0101000,MD,ro
0152002,с.Гоян (мун.Кишинэу),CUATM,http://statistica.md,0101000,MD,ru
0153000,s.Gratiesti,CUATM,http://statistica.md,0101000,MD,en
0153000,s.Grătieşti,CUATM,http://statistica.md,0101000,MD,ro
0153000,с.Грэтиешть,CUATM,http://statistica.md,0101000,MD,ru
0153001,s.Hulboaca,CUATM,http://statistica.md,0101000,MD,en
0153001,s.Hulboaca (mun. Chişinău),CUATM,http://statistica.md,0101000,MD,ro
0153001,с.Хулбоака (мун. Кишинэу),CUATM,http://statistica.md,0101000,MD,ru
0154000,s.Stauceni,CUATM,http://statistica.md,0101000,MD,en
0154000,s.Stăuceni,CUATM,http://statistica.md,0101000,MD,ro
0154000,с.Стэучень,CUATM,http://statistica.md,0101000,MD,ru
0154001,s.Goianul Nou,CUATM,http://statistica.md,0101000,MD,en
0154001,s.Goianul Nou (mun. Chişinău),CUATM,http://statistica.md,0101000,MD,ro
0154001,с.Гоянул Ноу (мун.Кишинэу),CUATM,http://statistica.md,0101000,MD,ru
0301000,mun.Balti,CUATM,http://statistica.md,0301000,MD,en
0301000,mun.Bălţi,CUATM,http://statistica.md,0301000,MD,ro
0301000,мун.Бэлць,CUATM,http://statistica.md,0301000,MD,ru
0310000,s.Elizaveta,CUATM,http://statistica.md,0301000,MD,en
0310000,s.Elizaveta,CUATM,http://statistica.md,0301000,MD,ro
0310000,с.Елизавета,CUATM,http://statistica.md,0301000,MD,ru
0311000,s.Sadovoe,CUATM,http://statistica.md,0301000,MD,en
0311000,s.Sadovoe,CUATM,http://statistica.md,0301000,MD,ro
0311000,с.Садовое,CUATM,http://statistica.md,0301000,MD,ru
0501000,mun.Bender,CUATM,http://statistica.md,0501000,MD,en
0501000,mun.Bender,CUATM,http://statistica.md,0501000,MD,ro
0501000,мун.Бендер,CUATM,http://statistica.md,0501000,MD,ru
0510000,s.Proteagailovca,CUATM,http://statistica.md,0501000,MD,en
0510000,s.Proteagailovca,CUATM,http://statistica.md,0501000,MD,ro
0510000,с.Протягайловка,CUATM,http://statistica.md,0501000,MD,ru
1001000,or.Anenii Noi,CUATM,http://statistica.md,1000000,MD,en
1001000,or.Anenii Noi,CUATM,http://statistica.md,1000000,MD,ro
1001000,г.Анений Ной,CUATM,http://statistica.md,1000000,MD,ru
1001001,s.Albinita,CUATM,http://statistica.md,1000000,MD,en
1001001,s.Albiniţa,CUATM,http://statistica.md,1000000,MD,ro
1001001,с.Албиница,CUATM,http://statistica.md,1000000,MD,ru
1001002,s.Beriozchi,CUATM,http://statistica.md,1000000,MD,en
1001002,s.Beriozchi,CUATM,http://statistica.md,1000000,MD,ro
1001002,с.Берёзки,CUATM,http://statistica.md,1000000,MD,ru
1001003,s.Hirbovatul Nou,CUATM,http://statistica.md,1000000,MD,en
1001003,s.Hîrbovăţul Nou,CUATM,http://statistica.md,1000000,MD,ro
1001003,с.Хырбовэцул Ноу,CUATM,http://statistica.md,1000000,MD,ru
1001004,s.Ruseni,CUATM,http://statistica.md,1000000,MD,en
1001004,s.Ruseni (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1001004,с.Русень (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1001005,s.Socoleni,CUATM,http://statistica.md,1000000,MD,en
1001005,s.Socoleni,CUATM,http://statistica.md,1000000,MD,ro
1001005,с.Соколень,CUATM,http://statistica.md,1000000,MD,ru
