"AA39-5";"Lithium";"Lithium";"en"
"AA39-5";"Lithium";"Litiu";"ro"
"AA39-5";"Lithium";"Lithium";"ru"
"AA40-8";"Niobium";"Niobium";"en"
"AA40-8";"Niobium";"Niobiu";"ro"
"AA40-8";"Niobium";"Niobium";"ru"
"AA41-1";"Osmium";"Osmium";"en"
"AA41-1";"Osmium";"Osmiu";"ro"
"AA41-1";"Osmium";"Osmium";"ru"
"AA42-4";"Rhenium";"Rhenium";"en"
"AA42-4";"Rhenium";"Reniu";"ro"
"AA42-4";"Rhenium";"Rhenium";"ru"
"AA43-7";"Palladium";"Palladium";"en"
"AA43-7";"Palladium";"Paladiu";"ro"
"AA43-7";"Palladium";"Palladium";"ru"
"AA44-0";"Brass";"Brass";"en"
"AA44-0";"Brass";"Alamă";"ro"
"AA44-0";"Brass";"Brass";"ru"
"AA45-3";"Gold";"Gold";"en"
"AA45-3";"Gold";"Aur";"ro"
"AA45-3";"Gold";"Gold";"ru"
"AA46-6";"Silver";"Silver";"en"
"AA46-6";"Silver";"Argint";"ro"
"AA46-6";"Silver";"Silver";"ru"
"AA47-9";"Platinum";"Platinum";"en"
"AA47-9";"Platinum";"Platină";"ro"
"AA47-9";"Platinum";"Platinum";"ru"
"AA48-2";"Magnesium";"Magnesium";"en"
"AA48-2";"Magnesium";"Magneziu";"ro"
"AA48-2";"Magnesium";"Magnesium";"ru"
"AB02-5";"Ceramic";"Ceramic";"en"
"AB02-5";"Ceramic";"Ceramică";"ro"
"AB02-5";"Ceramic";"Ceramic";"ru"
"AB03-8";"Porcelain or china ceramic";"Porcelain or china ceramic";"en"
"AB03-8";"Porcelain or china ceramic";"Porţelan";"ro"
"AB03-8";"Porcelain or china ceramic";"Porcelain or china ceramic";"ru"
"AB04-1";"Clay";"Clay";"en"
"AB04-1";"Clay";"Argilă";"ro"
"AB04-1";"Clay";"Clay";"ru"
"AB05-4";"Concrete";"Concrete";"en"
"AB05-4";"Concrete";"Beton";"ro"
"AB05-4";"Concrete";"Concrete";"ru"
"AB06-7";"Plastic";"Plastic";"en"
"AB06-7";"Plastic";"Plastic";"ro"
"AB06-7";"Plastic";"Plastic";"ru"
"AB07-0";"Polyester";"Polyester";"en"
"AB07-0";"Polyester";"Poliester";"ro"
"AB07-0";"Polyester";"Polyester";"ru"
"AB08-3";"Polyethene (Polyethylene)";"Polyethene (Polyethylene)";"en"
"AB08-3";"Polyethene (Polyethylene)";"Polietenă (Polietilenă)";"ro"
"AB08-3";"Polyethene (Polyethylene)";"Polyethene (Polyethylene)";"ru"
"AB09-6";"Polystyrene";"Polystyrene";"en"
"AB09-6";"Polystyrene";"Polistiren";"ro"
"AB09-6";"Polystyrene";"Polystyrene";"ru"
"AB11-2";"PVC";"PVC";"en"
"AB11-2";"PVC";"PVC";"ro"
"AB11-2";"PVC";"PVC";"ru"
"AB12-5";"Rubber";"Rubber";"en"
"AB12-5";"Rubber";"Cauciuc";"ro"
"AB12-5";"Rubber";"Rubber";"ru"
"AB13-8";"Wooden";"Wooden";"en"
"AB13-8";"Wooden";"Lemn";"ro"
"AB13-8";"Wooden";"Wooden";"ru"
"AB14-1";"Coniferous wood";"Coniferous wood";"en"
"AB14-1";"Coniferous wood";"Lemn de conifere";"ro"
"AB14-1";"Coniferous wood";"Coniferous wood";"ru"
"AB15-4";"Tropical wood";"Tropical wood";"en"
"AB15-4";"Tropical wood";"Lemn tropical";"ro"
"AB15-4";"Tropical wood";"Tropical wood";"ru"
"AB16-7";"Bamboo";"Bamboo";"en"
"AB16-7";"Bamboo";"Bambus";"ro"
"AB16-7";"Bamboo";"Bamboo";"ru"
"AB17-0";"Cork";"Cork";"en"
"AB17-0";"Cork";"Plută";"ro"
"AB17-0";"Cork";"Cork";"ru"
"AB18-3";"Paper";"Paper";"en"
"AB18-3";"Paper";"Hârtie";"ro"
"AB18-3";"Paper";"Paper";"ru"
"AB19-6";"Leather";"Leather";"en"
"AB19-6";"Leather";"Piele";"ro"
"AB19-6";"Leather";"Leather";"ru"
"AB20-9";"Fibreglass";"Fibreglass";"en"
"AB20-9";"Fibreglass";"Fibre de sticlă";"ro"
"AB20-9";"Fibreglass";"Fibreglass";"ru"
"AB21-2";"Glass";"Glass";"en"
"AB21-2";"Glass";"Sticlă";"ro"
"AB21-2";"Glass";"Glass";"ru"
"AB22-5";"Glass inners";"Glass inners";"en"
"AB22-5";"Glass inners";"Pereţi interiori din sticlă";"ro"
"AB22-5";"Glass inners";"Glass inners";"ru"
"AB23-8";"Glass parts";"Glass parts";"en"
"AB23-8";"Glass parts";"Piese din sticlă";"ro"
"AB23-8";"Glass parts";"Glass parts";"ru"
"AB24-1";"Textile";"Textile";"en"
"AB24-1";"Textile";"Textil";"ro"
"AB24-1";"Textile";"Textile";"ru"
"AB25-4";"Synthetic";"Synthetic";"en"
"AB25-4";"Synthetic";"Sintetic";"ro"
"AB25-4";"Synthetic";"Synthetic";"ru"
"AB26-7";"Timber";"Timber";"en"
"AB26-7";"Timber";"Cherestea";"ro"
"AB26-7";"Timber";"Timber";"ru"
"AB27-0";"Stone";"Stone";"en"
"AB27-0";"Stone";"Piatră";"ro"
"AB27-0";"Stone";"Stone";"ru"
"AB28-3";"Marble";"Marble";"en"
"AB28-3";"Marble";"Marmură";"ro"
"AB28-3";"Marble";"Marble";"ru"
"AB29-6";"Precious stones";"Precious stones";"en"
"AB29-6";"Precious stones";"Pietre preţioase";"ro"
"AB29-6";"Precious stones";"Precious stones";"ru"
"AB30-9";"Wool";"Wool";"en"
"AB30-9";"Wool";"Lână";"ro"
"AB30-9";"Wool";"Wool";"ru"
